date,close,volume,open,high,low
16:00,79.41,7629251,79.88,79.93,79.24
2015/06/11,79.41,7616616,79.93,79.93,79.24
2015/06/10,79.54,9460977,79.23,79.79,79.01
2015/06/09,78.9,11513490,77.97,79.33,77.82
2015/06/08,77.71,10915900,77.48,77.9834,77.1
2015/06/05,77.43,9425609,78.04,78.12,77.37
2015/06/04,78.15,7714304,78.41,78.84,78.06
2015/06/03,78.56,5985530,78.91,78.93,78.27
2015/06/02,78.54,7361858,78.46,78.72,78.17
2015/06/01,78.85,7577343,78.65,79.07,78.27
2015/05/29,78.39,12504320,79.18,79.24,78.19
2015/05/28,79.33,5799033,79.43,79.45,79.02
2015/05/27,79.39,8094509,79.22,79.94,79.09
2015/05/26,79.14,6666214,79.97,80.0651,78.94
2015/05/22,79.95,5986335,80.24,80.4,79.92
2015/05/21,80.41,6055592,80.17,80.58,79.84
2015/05/20,80.48,5469358,80.93,81,80.45
2015/05/19,80.83,5718135,80.75,80.95,80.33
2015/05/18,80.74,5580524,80.97,81.13,80.5
2015/05/15,81.05,7199134,80.83,81.12,80.73
2015/05/14,80.57,5634148,80.11,80.69,80.09
2015/05/13,79.7,6459619,80.16,80.59,79.55
2015/05/12,79.95,6298308,80.03,80.29,79.36
2015/05/11,80.27,5227572,80.95,80.99,80.26
2015/05/08,80.96,6929376,80.89,81.21,80.82
2015/05/07,80.2,7216008,80.37,80.55,80
2015/05/06,80.4,7335056,80.34,80.58,79.52
2015/05/05,80.07,6589434,80.5,80.65,79.78
2015/05/04,80.35,7193074,80.48,80.9651,80.295
2015/05/01,80.29,8185224,79.76,80.32,79.63
2015/04/30,79.51,9388417,79.95,80.15,79.07
2015/04/29,79.85,11837960,80,80.31,79.72
2015/04/28,80.42,8395450,80.73,80.82,80.19
2015/04/27,80.6,9188488,80.91,81.2,80.47
2015/04/24,81,8785441,81.04,81.53,80.9
2015/04/23,80.95,14553690,81.415,82.1,80.9
2015/04/22,83.09,6742352,83.22,83.34,82.6
2015/04/21,83.08,7685744,83.39,83.8,82.9
2015/04/20,82.87,7415328,83.09,83.98,82.8
2015/04/17,82.53,9108958,83,83.22,82.03
2015/04/16,83.5,7514765,83.56,84.07,83.35
2015/04/15,83.51,7004309,83.85,84.2,83.48
2015/04/14,83.6,6779917,83.39,83.88,83.05
2015/04/13,83.43,8286169,83,83.95,82.94
2015/04/10,83.35,6995586,82.8,83.63,82.715
2015/04/09,82.89,6184986,82.63,82.95,82.01
2015/04/08,82.77,6523054,82.3,83.18,82.27
2015/04/07,82.39,6330108,82.93,83.29,82.33
2015/04/06,83.04,6851886,81.92,83.225,81.51
2015/04/02,82.43,6169783,82.17,82.59,81.915
2015/04/01,82.32,7394887,82.44,82.45,81.4503
2015/03/31,81.94,8649198,82.76,82.93,81.94
2015/03/30,82.72,6410945,82.63,82.95,82.15
2015/03/27,82.31,6441373,82.08,82.54,81.9901
2015/03/26,82.15,7307573,82.58,82.61,81.95
2015/03/25,83.01,8481956,84.37,84.37,82.86
2015/03/24,83.92,7456443,84.89,85.11,83.87
2015/03/23,84.86,9879242,84.37,85.05,84.36
2015/03/20,84.74,22145260,83.99,84.79,83.77
2015/03/19,83.38,9239424,83.46,83.75,83.12
2015/03/18,83.75,12602820,82.86,84.05,82.02
2015/03/17,82.85,7509223,83.36,83.37,82.43
2015/03/16,83.56,15618240,82.08,83.95,81.99
2015/03/13,81.83,7483326,81.98,82.28,81.15
2015/03/12,82.09,6951008,81.59,82.115,81.51
2015/03/11,81.39,10066380,81.53,81.78,80.811
2015/03/10,81.54,9680836,82.47,82.88,81.54
2015/03/09,83.09,7078677,82.79,83.21,82.68
2015/03/06,82.66,11338560,84.34,84.37,82.37
2015/03/05,84.63,5904022,84.62,84.76,84.09
2015/03/04,84.35,7342451,85.04,85.24,84.21
2015/03/03,85.16,6085191,85.35,85.44,84.54
2015/03/02,85.41,7235072,85.02,85.41,84.84
2015/02/27,85.13,7674051,85.02,85.38,84.57
2015/02/26,85.17,7964161,85.42,85.76,84.89
2015/02/25,85.46,5970334,85.7,85.795,85.2399
2015/02/24,85.5,6501292,85.51,85.74,85.01
2015/02/23,85.39,7915600,84.96,85.5,84.65
2015/02/20,84.87,9575040,84.95,85.05,84.19
2015/02/19,85.21,7267551,86.11,86.3,85.05
2015/02/18,86.26,8131866,85.76,86.39,85.52
2015/02/17,85.49,10292980,86.06,86.06,85
2015/02/13,85.9,6271749,86.03,86.15,85.5
2015/02/12,86.03,6073321,86.06,86.146,85.41
